"Time","Sardine"
0,0.05
0.0416666667,0.05
0.0833333333,0.05
0.125,0.05
0.1666666667,0.05
0.2083333333,0.05
0.25,0.1
0.2916666667,0.1
0.3333333333,0.05
0.375,0.05
0.4166666667,0
0.4583333333,0
0.5,0
0.5416666667,0
0.5833333333,0
0.625,0
0.6666666667,0
0.7083333333,0
0.75,0.1
0.7916666667,0.1
0.8333333333,0.05
0.875,0.05
0.9166666667,0.05
0.9583333333,0.05
