Sardine,Anchovy,Sprat,BlueWhiting,Whiting,Mackerel,HorseMackerel,Boarfish,Pouting,Sole,Seabass,Hake,Anglerfish,NorwayLobster,Cuttlefish,Squid,LesserSpottedDogfish,Albacore,age
14.5793117695668,13.1958401729287,4.49672978366605,19.6758724684419,27.2551363155234,24.5740478152823,12.225186855953,2.1678486949389,15.8242994250821,12.646662949487,18.2655411798538,20.1405502030583,6.77666604461764,1.27865542630265,21.2154671575378,43.2332358381694,10.5161531602292,47.2345486076323,1
16.7925985529688,15.3258512043384,7.83799792462871,22.4929321173503,36.1103800969679,28.8493562791571,18.1445002429536,3.9876808900067,23.3901413764837,22.6142892695432,24.3463835617766,28.2189217981757,19.7314784355321,1.99050960434686,27.1734412061751,NA,19.7873499173355,61.3730126928464,2
18.5109728075277,17.0194016129592,10.3207072104667,24.9175978272309,42.6403987593399,32.1326800532833,22.9908241499972,5.4986395088695,28.1188097575782,29.7874219443161,30.0081913364572,35.6019975251628,31.4265478137097,2.58510019413585,NA,NA,27.9609746258507,72.8448950909046,3
19.8451018055749,18.3659265577815,12.1654694797441,27.0045269438896,47.45575390747,34.6541858339381,26.9586585720708,6.75314855322166,31.0742382217189,34.9495167819166,35.2798404376952,42.3496206752754,41.9843732482419,3.08174400177205,NA,NA,35.1669635209135,82.1531258125505,4
20.8809065371158,19.4365350367491,13.5362090381618,28.8007634808313,51.0066848314868,36.5906355535723,30.2072466365439,7.79473428741327,32.9213877155541,38.664382283582,40.1882169408433,48.5164838986213,51.5155418374635,3.49657577997243,NA,NA,41.5198703165573,89.7057798723636,5
21.6850952201091,NA,14.5547288595517,30.3467985957232,53.6252062155295,38.0777776991271,32.8669655890101,8.65953541942244,34.0758603390583,41.3377593000101,44.7583541851828,54.1525725137394,60.1198870446723,3.84307240704999,NA,NA,47.1206872678281,95.8339673929589,6
22.3094594638332,NA,NA,31.6774833509439,55.5561517578135,39.2198635166215,35.0445592899385,9.37755696424013,34.7974083474187,43.2616364010147,49.0135604471113,59.303569662048,67.887534395758,4.13249071800234,NA,NA,52.0584506461847,100.806349550299,7
22.7942097681898,NA,NA,32.8228143338696,56.9800663036287,40.0969552044743,36.8274222205975,9.9737112935304,NA,44.6461411218323,52.9755378152928,64.0112265911304,74.8998454918164,4.37423321177781,NA,NA,56.4116561504473,104.840916742564,8
23.1705651728047,NA,NA,33.8086098465205,58.0300869227425,40.7705384125982,38.2871069304508,10.4686824916743,NA,45.642490275822,56.6644928740465,68.3137010681769,81.2302702247353,4.57615351566074,NA,NA,60.2495067541045,108.11454534025,9
23.4627638353117,NA,NA,34.6570919073831,58.8043913245091,41.2878324931944,39.4821956922054,10.8796440077697,NA,46.3595059867326,60.0992397594764,72.2458666665833,86.9451161222135,4.74481153057326,NA,NA,63.6330128260254,110.770751987679,10
23.6896240247069,NA,NA,35.3873871850212,59.3753775467617,41.6851006593133,40.4606516141117,11.2208545031375,NA,46.8755013359873,63.2972961139378,75.8395954326176,92.1042428806586,4.88568654634544,NA,NA,66.6159620132127,112.925985406287,11
23.8657560613524,NA,NA,36.0159581556298,59.7964332262315,41.9901920990405,41.2617435679077,11.5041525677721,NA,47.2468337857524,66.2749724282235,79.1240162233026,96.76168936079,NA,NA,NA,69.2457743038375,114.674731533845,12
24.0025032553647,NA,NA,36.5569742037819,60.1069273823152,42.2244942519269,41.9176221865239,11.7393674703476,NA,47.5140605901175,69.0474552271238,82.1257508094628,100.966239613365,NA,NA,NA,NA,116.093655810096,13
24.1086724419952,NA,NA,37.0226310318003,60.3358914496888,42.4044321056281,42.4546101818712,11.9346601931024,NA,47.7063684937664,71.6288845226186,84.8691296576619,104.761933863819,NA,NA,NA,NA,117.244964207584,14
NA,NA,NA,37.4234255779526,60.5047337390558,42.5426196160534,42.8942587676957,12.0968065840978,NA,47.8447615336927,74.0324259297221,87.3763891400444,108.188529808084,NA,NA,NA,NA,118.179130356062,15
NA,NA,NA,NA,60.6292411301312,42.648743967571,43.2542125854575,12.2314324510628,NA,47.944355118442,76.2703378127796,89.6678517705609,111.281919051393,NA,NA,NA,NA,NA,16
NA,NA,NA,NA,60.7210551566438,42.7302446614497,43.5489178457469,12.3432087536055,NA,48.0160269462197,78.3540338046725,91.7620909284735,114.074503052038,NA,NA,NA,NA,NA,17
NA,NA,NA,NA,60.7887604984043,42.7928350378122,43.7902021054397,12.4360136661514,NA,48.0676050765773,80.2941410177852,93.676081404306,116.595532507843,NA,NA,NA,NA,NA,18
NA,NA,NA,NA,60.8386876552562,42.8409027906958,43.9877489490839,12.5130671345228,NA,48.1047229179061,82.1005542436189,95.4253369884814,118.871413740268,NA,NA,NA,NA,NA,19
NA,NA,NA,NA,60.875504853523,42.8778175530212,44.1494866251488,12.5770425947134,NA,48.1314345132151,83.7824864174762,97.0240362178692,120.925985285308,NA,NA,NA,NA,NA,20
NA,NA,NA,NA,NA,NA,44.2819062344745,12.6301597300365,NA,48.1506573262454,85.3485156055934,NA,122.780767588332,NA,NA,NA,NA,NA,21
NA,NA,NA,NA,NA,NA,NA,12.6742614849363,NA,48.1644908894049,86.8066287543599,NA,124.455188418271,NA,NA,NA,NA,NA,22
NA,NA,NA,NA,NA,NA,NA,12.710878007522,NA,48.1744461165293,88.1642624247527,NA,125.966786362223,NA,NA,NA,NA,NA,23
NA,NA,NA,NA,NA,NA,NA,12.741279739365,NA,48.1816103262096,89.4283407197352,NA,127.331394531989,NA,NA,NA,NA,NA,24
